source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,36,Medical College of Georgia at Augusta University,Medical College of Georgia at Augusta University,,,,3.8,3.8,513,513,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,37,Medical University of South Carolina College of Medicine,Medical University of South Carolina College of Medicine,,,,3.7,3.7,511,511,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,38,Mercer University School of Medicine,Mercer University School of Medicine,,,,3.69,3.69,503,503,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,39,Michigan State University College of Human Medicine,Michigan State University College of Human Medicine,,,,3,3,,,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,40,Morehouse School of Medicine,Morehouse School of Medicine,,,,3.64,3.64,505.6,505.6,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,41,New York Medical College,New York Medical College,,,,3.73,3.73,515,515,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,42,New York University Grossman School of Medicine,New York University Grossman School of Medicine,,,,3.95,3.95,522.39,522.39,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,43,Northeast Ohio Medical University,Northeast Ohio Medical University,,,,3.75,3.75,511,511,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,44,Northern Ontario School of Medicine,Northern Ontario School of Medicine,,,,3.79,3.79,,,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,45,Northwestern University The Feinberg School of Medicine,Northwestern University The Feinberg School of Medicine,,,,3.93,3.93,521,521,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,46,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,,,,3.75,3.75,512,512,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,47,Oakland University William Beaumont School of Medicine,Oakland University William Beaumont School of Medicine,,,,3.89,3.89,510,510,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,48,Ohio State University College of Medicine,Ohio State University College of Medicine,,,,3.83,3.83,514,514,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,49,Oregon Health & Science University School of Medicine,Oregon Health & Science University School of Medicine,,,,3.66,3.66,509,509,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,50,Perelman School of Medicine at the University of Pennsylvania,Perelman School of Medicine at the University of Pennsylvania,,,,3.94,3.94,521.7,521.7,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,51,Queen’s University Faculty of Health Sciences,Queen’s University Faculty of Health Sciences,,,,3.75,3.75,513,513,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,52,Rush Medical College of Rush University Medical Center,Rush Medical College of Rush University Medical Center,,,,3.72,3.72,510,510,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,53,Saint Louis University School of Medicine,Saint Louis University School of Medicine,,,,3.9,3.9,514,514,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,54,Sidney Kimmel Medical College at Thomas Jefferson University,Sidney Kimmel Medical College at Thomas Jefferson University,,,,3.8,3.8,513,513,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,55,Southern Illinois University School of Medicine,Southern Illinois University School of Medicine,,,,2.8,2.8,,,,,
