source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,69,University of Kentucky College of Medicine*,University of Kentucky College of Medicine,,KY,MD,3.84,3.84,508,508,495,495,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,70,University of Louisville School of Medicine*,University of Louisville School of Medicine,,KY,MD,3.78,3.78,507,507,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,71,University of Pikeville Kentucky College of Osteopathic Medicine,University of Pikeville Kentucky College of Osteopathic Medicine,,KY,DO,3.50,3.5,502,502,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,72,Louisiana State University - New Orleans School of Medicine*,Louisiana State University - New Orleans School of Medicine,,LA,MD,3.76,3.76,509 (74th %-ile),509,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,73,Louisiana State University - Shreveport School of Medicine*,Louisiana State University - Shreveport School of Medicine,,LA,MD,3.80,3.8,508,508,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,74,Tulane University School of Medicine,Tulane University School of Medicine,,LA,MD,3.70,3.7,510,510,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,75,Edward Via College of Osteopathic Medicine - Louisiana Campus,Edward Via College of Osteopathic Medicine - Louisiana Campus,,LA,DO,3.70 (min 3.4),3.7,502,502,496,496,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,76,Boston University School of Medicine,Boston University School of Medicine,,MA,MD,3.76,3.76,517,517,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,77,Harvard Medical School,Harvard Medical School,,MA,MD,3.90,3.9,520.48,520.48,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,78,Tufts University School of Medicine,Tufts University School of Medicine,,MA,MD,3.82,3.82,514,514,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,79,University of Massachusetts Medical School*,University of Massachusetts Medical School,,MA,MD,3.76,3.76,511,511,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,80,Johns Hopkins University School of Medicine,Johns Hopkins University School of Medicine,,MD,MD,3.92,3.92,521,521,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,81,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine*,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,,MD,MD,3.70,3.7,510,510,496,496,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,82,University of Maryland School of Medicine*,University of Maryland School of Medicine,,MD,MD,3.84,3.84,512,512,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,83,University of New England College of Osteopathic Medicine,University of New England College of Osteopathic Medicine,,ME,DO,3.62,3.62,502,502,490,490,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,84,Central Michigan University College of Medicine*,Central Michigan University College of Medicine,,MI,MD,3.80,3.8,506,506,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,85,Michigan State University College of Human Medicine*,Michigan State University College of Human Medicine,,MI,MD,3.7,3.7,507,507,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,86,Oakland University William Beaumont School of Medicine,Oakland University William Beaumont School of Medicine,,MI,MD,3.89,3.89,510,510,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,87,University of Michigan Medical School*,University of Michigan Medical School,,MI,MD,3.85,3.85,516 (92nd %-ile),516,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,88,Wayne State University School of Medicine*,Wayne State University School of Medicine,,MI,MD,3.78,3.78,511,511,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,89,Western Michigan University School of Medicine,Western Michigan University School of Medicine,,MI,MD,3.81,3.81,512,512,497,497,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,90,Michigan State University College of Osteopathic Medicine*,Michigan State University College of Osteopathic Medicine,,MI,DO,3.50-3.70,3.5,506-508,506,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,91,Mayo Clinic Alix School of Medicine,Mayo Clinic Alix School of Medicine,,MN,MD,3.95,3.95,521,521,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,92,University of Minnesota Medical School - Twin Cities*,University of Minnesota Medical School - Twin Cities,,MN,MD,3.84,3.84,511,511,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,93,University of Minnesota Medical School - Duluth*,University of Minnesota Medical School - Duluth,,MN,MD,3.77,3.77,511.1,511.1,495,495,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,94,University of Missouri - Columbia School of Medicine*,University of Missouri - Columbia School of Medicine,,MO,MD,3.83,3.83,509,509,494,494,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,95,Saint Louis University School of Medicine,Saint Louis University School of Medicine,,MO,MD,3.90,3.9,514,514,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,96,University of Missouri - Kansas City School of Medicine*,University of Missouri - Kansas City School of Medicine,,MO,MD,3.78 3.5 Minimum required for OOS applicants. 3.0 minimum for IS applicants.,3.78,506,506,495,495,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,97,Washington University School of Medicine,Washington University School of Medicine,,MO,MD,3.88,3.88,519.5,519.5,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,98,A.T. Still University of Health Sciences Kirksville College of Osteopathic Medicine,A.T. Still University of Health Sciences Kirksville College of Osteopathic Medicine,,MO,DO,3.69,3.69,503,503,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,99,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,,MO,DO,3.62,3.62,505,505,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,100,University of Mississippi School of Medicine*,University of Mississippi School of Medicine,,MS,MD,3.80,3.8,506,506,496,496,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,101,William Carey University College of Osteopathic Medicine,William Carey University College of Osteopathic Medicine,,MS,DO,3.53,3.53,505,505,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,102,Duke University School of Medicine,Duke University School of Medicine,,NC,MD,3.90,3.9,519,519,NR,,
