source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,69,Tulane University School of Medicine,Tulane University School of Medicine,http://www2.tulane.edu/som/admissions/index.cfm,Louisiana,,3.63,3.63,MCAT - 511,511,MCAT - 511,511,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,71,Johns Hopkins University School of Medicine,Johns Hopkins University School of Medicine,http://www.hopkinsmedicine.org/som/admissions/md/,Maryland,,3.95,3.95,MCAT - 521,521,MCAT - 521,521,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,72,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,https://medschool.usuhs.edu/admissions/application-requirements,Maryland,,3.76,3.76,MCAT - 510,510,MCAT - 510,510,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,73,University of Maryland School of Medicine,University of Maryland School of Medicine,http://www.medschool.umaryland.edu/admissions/MD-Application/,Maryland,,3.83,3.83,MCAT - 514,514,MCAT - 514,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,75,Boston University School of Medicine,Boston University School of Medicine,http://www.bumc.bu.edu/busm/admissions/degree-programs/md-program/,Massachusetts,,3.86,3.86,MCAT - 518,518,MCAT - 518,518,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,76,Harvard Medical School,Harvard Medical School,https://hms.harvard.edu/departments/admissions,Massachusetts,,3.94,3.94,MCAT - 520,520,MCAT - 520,520,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,77,Tufts University School of Medicine,Tufts University School of Medicine,http://medicine.tufts.edu/Admissions.aspx,Massachusetts,,3.78,3.78,MCAT - 515,515,MCAT - 515,515,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,78,University of Massachusetts Medical School,University of Massachusetts Medical School,http://www.umassmed.edu/som/admissions/degree-programs/md-program/,Massachusetts,,3.82,3.82,MCAT - 516,516,MCAT - 516,516,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,81,Central Michigan University College of Medicine,Central Michigan University College of Medicine,https://www.cmich.edu/academics/colleges/college-of-medicine,Michigan,,3.69,3.69,MCAT Minimum - 498 MCAT Average - 508,508,MCAT Minimum - 498 MCAT Average - 508,498,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,82,Michigan State University College of Human Medicine,Michigan State University College of Human Medicine,http://mdadmissions.msu.edu/ApplicationProcess/future/default2.htm,Michigan,,3.76,3.76,MCAT - 509,509,MCAT - 509,509,
