source_key,source_name,source_url,value_url,source_row_number,school_name_raw,school_name_clean,metric_context,gpa,mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.slu.edu/medicine/admissions,95,Saint Louis University School of Medicine,Saint Louis University School of Medicine,published school average GPA and MCAT,3.91,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://med.umkc.edu/md/apply/,96,University of Missouri - Kansas City School of Medicine,University of Missouri - Kansas City School of Medicine,published school average GPA and MCAT,3.89,509,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medicine.wustl.edu/education/admissions/#medical-education,97,Washington University School of Medicine,Washington University School of Medicine,published school average GPA and MCAT,3.94,521,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medschool.creighton.edu/program/Medicine-MD,99,Creighton University School of Medicine,Creighton University School of Medicine,published school average GPA and MCAT,3.84,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.unmc.edu/com/prospective/admissions/index.html,100,University of Nebraska College of Medicine,University of Nebraska College of Medicine,published school average GPA and MCAT,3.9,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://med.unr.edu/admissions,102,University of Nevada School of Medicine,University of Nevada School of Medicine,published school average GPA and MCAT,3.76,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://geiselmed.dartmouth.edu/admissions/,104,Geisel School of Medicine at Dartmouth,Geisel School of Medicine at Dartmouth,published school average GPA and MCAT,3.77,516,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.rowan.edu/coopermed/students/admissions/,106,Cooper Medical School of Rowan University,Cooper Medical School of Rowan University,published school average GPA and MCAT,3.79,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://njms.rutgers.edu/admissions/prospective/index.cfm,107,Rutgers New Jersey Medical School,Rutgers New Jersey Medical School,published school average GPA and MCAT,3.82,515,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://rwjms.rutgers.edu/education/admissions/index.html,108,Rutgers Robert Wood Johnson Medical School,Rutgers Robert Wood Johnson Medical School,published school average GPA and MCAT,3.75,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://som.unm.edu/education/md/ume/,110,University of New Mexico School of Medicine,University of New Mexico School of Medicine,published school average GPA and MCAT,3.8,505,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.amc.edu/Academic/Undergraduate_Admissions/index.cfm,112,Albany Medical College,Albany Medical College,published school average GPA and MCAT,3.74,511,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.einsteinmed.edu/,113,Albert Einstein College of Medicine of Yeshiva University,Albert Einstein College of Medicine of Yeshiva University,published school average GPA and MCAT,3.81,515,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://ps.columbia.edu/education/admissions,114,Columbia University College of Physicians and Surgeons,Columbia University College of Physicians and Surgeons,published school average GPA and MCAT,3.92,522,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.hofstra.edu/admission/md/index.html,115,Hofstra Northwell School of Medicine,Hofstra Northwell School of Medicine,published school average GPA and MCAT,3.84,518,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://icahn.mssm.edu/education/medical/admissions,116,Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,published school average GPA and MCAT,3.87,519,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.nymc.edu/future-students/admission-offices/,117,New York Medical College,New York Medical College,published school average GPA and MCAT,3.72,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.med.nyu.edu/school/md-admissions,118,New York University School of Medicine,New York University School of Medicine,published school average GPA and MCAT,3.9,520,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.downstate.edu/education-training/college-of-medicine/index.html,119,SUNY - Downstate Medical Center College of Medicine,SUNY - Downstate Medical Center College of Medicine,published school average GPA and MCAT,3.74,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.buffalo.edu/education/md/admissions.html,120,SUNY - Buffalo Jacobs School of Medicine and Biomedical Sciences,SUNY - Buffalo Jacobs School of Medicine and Biomedical Sciences,published school average GPA and MCAT,3.75,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.upstate.edu/com/admissions/index.php,121,SUNY - Upstate Medical University,SUNY - Upstate Medical University,published school average GPA and MCAT,3.77,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medicine.stonybrookmedicine.edu/admissions_SOM,122,Stony Brook University School of Medicine,Stony Brook University School of Medicine,published school average GPA and MCAT,3.86,516,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.urmc.rochester.edu/education/md/admissions.aspx,123,University of Rochester School of Medicine and Dentistry,University of Rochester School of Medicine and Dentistry,published school average GPA and MCAT,3.84,518,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://weill.cornell.edu/education/admissions/,124,Weill Cornell Medical College,Weill Cornell Medical College,published school average GPA and MCAT,3.91,519,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medschool.duke.edu/education/student-services/office-admissions,127,Duke University School of Medicine,Duke University School of Medicine,published school average GPA and MCAT,3.89,519,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.ecu.edu/bsomadmissions/,128,East Carolina University Brody School of Medicine,East Carolina University Brody School of Medicine,published school average GPA and MCAT,3.71,509,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.med.unc.edu/admit,129,University of North Carolina at Chapel Hill School of Medicine,University of North Carolina at Chapel Hill School of Medicine,published school average GPA and MCAT,3.78,515,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.wakehealth.edu/School/MD-Program/Admissions/Admissions.htm,130,Wake Forest School of Medicine,Wake Forest School of Medicine,published school average GPA and MCAT,3.76,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.med.und.edu/student-affairs-admissions/application-process.cfm,132,University of North Dakota School of Medicine and Health Sciences,University of North Dakota School of Medicine and Health Sciences,published school average GPA and MCAT,3.8,507,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://case.edu/medicine/admissions/,134,Case Western Reserve University School of Medicine,Case Western Reserve University School of Medicine,published school average GPA and MCAT,3.86,519,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.neomed.edu/admissions/apply/#com,135,Northeast Ohio Medical University,Northeast Ohio Medical University,published school average GPA and MCAT,3.76,507,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medicine.osu.edu/education/md/admissions,136,The Ohio State University College of Medicine,The Ohio State University College of Medicine,published school average GPA and MCAT,3.92,517,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.utoledo.edu/med/md/,137,The University of Toledo College of Medicine and Life Sciences,The University of Toledo College of Medicine and Life Sciences,published school average GPA and MCAT,3.76,510,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://med.uc.edu/admissions/medical-student-admissions/home,138,University of Cincinnati College of Medicine,University of Cincinnati College of Medicine,published school average GPA and MCAT,3.84,517,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://medicine.wright.edu/admissions,139,Wright State University Boonshoft School of Medicine,Wright State University Boonshoft School of Medicine,published school average GPA and MCAT,3.73,508,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.oumedicine.com/college-of-medicine/information-about/admissions,141,University of Oklahoma College of Medicine,University of Oklahoma College of Medicine,published school average GPA and MCAT,3.85,511,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.ohsu.edu/xd/education/schools/school-of-medicine/education/future-students.cfm,143,Oregon Health & Science University School of Medicine,Oregon Health & Science University School of Medicine,published school average GPA and MCAT,3.77,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://drexel.edu/medicine/academics/md-program/md-program-admissions/,145,Drexel University College of Medicine,Drexel University College of Medicine,published school average GPA and MCAT,3.75,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://tcmc.edu/admissions/md-admissions/,146,Geisinger Commonwealth School of Medicine,Geisinger Commonwealth School of Medicine,published school average GPA and MCAT,3.76,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://med.psu.edu/md/apply,147,Pennsylvania State University College of Medicine,Pennsylvania State University College of Medicine,published school average GPA and MCAT,3.81,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.med.upenn.edu/admissions/,148,Perelman School of Medicine University of Pennsylvania,Perelman School of Medicine University of Pennsylvania,published school average GPA and MCAT,3.94,522,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.jefferson.edu/university/skmc/admissions.html,149,Sidney Kimmel Medical College at Thomas Jefferson University,Sidney Kimmel Medical College at Thomas Jefferson University,published school average GPA and MCAT,3.8,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medicine.temple.edu/admissions,150,Temple University Lewis Katz School of Medicine,Temple University Lewis Katz School of Medicine,published school average GPA and MCAT,3.77,513,
