cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
211,University of California (Los Angeles),cycletrack_acceptance_median,1,single_source,3.81,3.81,,518,518,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of California (Los Angeles),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.81,518,https://cycletrack.org/explorer/school/University of California Los Angeles,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
212,University of California (San Diego),cycletrack_acceptance_median,1,single_source,3.95;3.94,3.94 - 3.95,0.01,519;520,519 - 520,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of California (San Diego); University of California (San Francisco),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95; 3.94,519; 520,https://cycletrack.org/explorer/school/University of California San Diego; https://cycletrack.org/explorer/school/University of California San Francisco,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
213,University of California - Davis School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.85;3.59;3.83;3.86;3.76;3.77;3.72;3.83;3.6;3.83;3.87;3.85;3.72;3.86;3.66;3.83,3.59 - 3.87,0.28,516;508;517;518;517;509;509;516;508;514.4;517;517;509;516;509;514.4,508 - 518,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of California - Irvine School of Medicine; University of California - Riverside School of Medicine; University of California - San Diego School of Medicine; University of California - San Francisco School of Medicine; University of Southern California Keck School of Medicine; University of Louisville School of Medicine,published school average GPA and MCAT,3.85; 3.59; 3.83; 3.86; 3.76; 3.77,516; 508; 517; 518; 509,http://www.meded.uci.edu/admissions/index.asp; http://medschool.ucr.edu/admissions/; http://meded.ucsd.edu/asa/admissions/; http://meded.ucsf.edu/admissions; http://keck.usc.edu/education/md-program/admissions/; http://louisville.edu/medicine/admissions,,University of California - Davis School of Medicine; University of California - Irvine School of Medicine; University of California - Riverside School of Medicine; University of California - San Diego School of Medicine; University of California - San Francisco School of Medicine; University of Southern California Keck School of Medicine,published school average GPA and MCAT,3.72; 3.83; 3.6; 3.87; 3.85,509; 516; 508; 514.4; 517,,source row carried an asterisk,"University of California, Davis, School of Medicine; University of California, Irvine, School of Medicine; University of California, Riverside School of Medicine; University of California, San Diego School of Medicine",published school average GPA and MCAT,3.72; 3.86; 3.66; 3.83,509; 516; 514.4,,,,,,,,
214,University of California - Los Angeles David Geffen School of Medicine,prospectivedoctor;shemmassian,2,close_agreement,3.84;3.81,3.81 - 3.84,0.03,516;516,516 - 516,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of California-Los Angeles David Geffen School of Medicine,published school average GPA and MCAT,3.84,516,http://medschool.ucla.edu/apply-admissions,,University of California - Los Angeles David Geffen School of Medicine,published school average GPA and MCAT,3.81,516,,source row carried an asterisk,,,,,,,,,,,,
215,University of Central Florida College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.88;3.9;3.89;3.86,3.86 - 3.9,0.04,514;515;514;515;500,500 - 515,15,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Central Florida College of Medicine; University of Florida College of Medicine,published school average GPA and MCAT,3.88; 3.9,514; 515,https://med.ucf.edu/admissions/; http://admissions.med.ufl.edu/,,University of Central Florida College of Medicine; University of Florida College of Medicine,published school average GPA and MCAT,3.89; 3.86,514; 515,,source row carried an asterisk,University of Florida College of Medicine,published school average GPA and MCAT,,500,,,,,,,,
216,University of Chicago,cycletrack_acceptance_median,1,single_source,3.93,3.93,,522,522,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Chicago,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,522,https://cycletrack.org/explorer/school/Chicago,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
217,University of Cincinnati,cycletrack_acceptance_median,1,single_source,3.93,3.93,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Cincinnati,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,517,https://cycletrack.org/explorer/school/Cincinnati,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
218,University of Colorado,cycletrack_acceptance_median,1,single_source,3.91,3.91,,518,518,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Colorado,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,518,https://cycletrack.org/explorer/school/Colorado,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
219,University of Connecticut,cycletrack_acceptance_median,1,single_source,3.87,3.87,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Connecticut,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.87,514,https://cycletrack.org/explorer/school/Connecticut,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
220,University of Connecticut School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.82;3.8;3.82;3.76;3.75;3.8;3.75;3.8,3.75 - 3.82,0.07,513;505;505;513;507;506;507;506,505 - 513,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Connecticut School of Medicine; University of New Mexico School of Medicine; University of Puerto Rico School of Medicine,published school average GPA and MCAT,3.82; 3.8,513; 505,http://medicine.uconn.edu/admissions/applying-to-the-md-or-md-mba-programs/; http://som.unm.edu/education/md/ume/; https://md.rcm.upr.edu/admissions/,,University of Connecticut School of Medicine; University of New Mexico School of Medicine; University of Puerto Rico School of Medicine,published school average GPA and MCAT,3.76; 3.75; 3.8,513; 507; 506,,source row carried an asterisk,University of New Mexico School of Medicine; University of Puerto Rico School of Medicine,published school average GPA and MCAT,3.75; 3.8,507; 506,,,,,,,,
221,University of Florida,cycletrack_acceptance_median,1,single_source,3.9;3.94;3.96,3.9 - 3.96,0.06,517;516;522,516 - 522,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Florida; University of Central Florida; University of South Florida,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9; 3.94; 3.96,517; 516; 522,https://cycletrack.org/explorer/school/Florida; https://cycletrack.org/explorer/school/University of Central Florida; https://cycletrack.org/explorer/school/University of South Florida,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
222,University of Hawaii,cycletrack_acceptance_median,1,single_source,3.95,3.95,,516.5,516.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Hawaii,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,516.5,https://cycletrack.org/explorer/school/Hawaii,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
223,University of Hawaii John A. Burns School of Medicine,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.84;3.79;3.79,3.79 - 3.84,0.05,513;512;512,512 - 513,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Hawaii John A. Burns School of Medicine,published school average GPA and MCAT,3.84,513,http://jabsom.hawaii.edu/ed-programs/md-program/admissions-program/,,University of Hawaii John A. Burns School of Medicine,published school average GPA and MCAT,3.79,512,,source row carried an asterisk,"University of Hawaii, John A. Burns School of Medicine",published school average GPA and MCAT,3.79,512,,,,,,,,
224,University of Houston,cycletrack_acceptance_median,1,single_source,3.95,3.95,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Houston,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,514,https://cycletrack.org/explorer/school/Houston,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
225,University of Houston Tilman J. Fertitta Family College of Medicine,shemmassian,1,single_source,3.84,3.84,,512,512,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,University of Houston Tilman J. Fertitta Family College of Medicine,published school average GPA and MCAT,3.84,512,,source row carried an asterisk,,,,,,,,,,,,
226,University of Illinois,cycletrack_acceptance_median,1,single_source,3.82,3.82,,512,512,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Illinois,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.82,512,https://cycletrack.org/explorer/school/Illinois,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
227,University of Illinois College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.76;3.84;3.82;3.86;3.83;3.84;3.82,3.76 - 3.86,0.1,513;517;511;514;513;512;511,511 - 517,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Illinois College of Medicine; University of Cincinnati College of Medicine,published school average GPA and MCAT,3.76; 3.84,513; 517,http://www.medicine.uic.edu/education/m_d_admissions; https://med.uc.edu/admissions/medical-student-admissions/home,,University of Illinois College of Medicine; University of Cincinnati College of Medicine,published school average GPA and MCAT,3.82; 3.86,511; 514,,source row carried an asterisk,University of Cincinnati College of Medicine; University of Houston College of Medicine; University of Illinois College of Medicine,published school average GPA and MCAT,3.83; 3.84; 3.82,513; 512; 511,,,,,,,,
228,University of Iowa,cycletrack_acceptance_median,1,single_source,3.92,3.92,,519,519,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Iowa,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.92,519,https://cycletrack.org/explorer/school/Iowa,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
229,University of Iowa Carver College of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.85;3.81,3.81 - 3.85,0.04,512;514,512 - 514,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Iowa Carver College of Medicine,published school average GPA and MCAT,3.85,512,https://medicine.uiowa.edu/md/admission-medical-school-md,,University of Iowa Carver College of Medicine,published school average GPA and MCAT,3.81,514,,source row carried an asterisk,,,,,,,,,,,,
230,University of Iowa Roy J. and Lucille A. Carver College of Medicine,matchguy,1,single_source,3,3,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,University of Iowa Roy J. and Lucille A. Carver College of Medicine,published school average GPA and MCAT,3,514,,,,,,,,
231,University of Kentucky,cycletrack_acceptance_median,1,single_source,3.93,3.93,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Kentucky,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,514,https://cycletrack.org/explorer/school/Kentucky,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
232,University of Kentucky College of Medicine,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.81;3.84;3.83,3.81 - 3.84,0.03,508;508;506,506 - 508,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Kentucky College of Medicine,published school average GPA and MCAT,3.81,508,http://meded.med.uky.edu/medical-school-admissions,,University of Kentucky College of Medicine,published school average GPA and MCAT,3.84,508,,source row carried an asterisk,University of Kentucky College of Medicine,published school average GPA and MCAT,3.83,506,,,,,,,,
233,University of Louisville,cycletrack_acceptance_median,1,single_source,3.84,3.84,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Louisville,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84,514,https://cycletrack.org/explorer/school/Louisville,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
234,University of Maryland,cycletrack_acceptance_median,1,single_source,3.92,3.92,,516.5,516.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Maryland,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.92,516.5,https://cycletrack.org/explorer/school/Maryland,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
235,University of Massachusetts,cycletrack_acceptance_median,1,single_source,3.85,3.85,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Massachusetts,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,515,https://cycletrack.org/explorer/school/Massachussetts,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
236,University of Massachusetts Medical School,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.82;3.76;3.87,3.76 - 3.87,0.11,516;511;512,511 - 516,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Massachusetts Medical School,published school average GPA and MCAT,3.82,516,http://www.umassmed.edu/som/admissions/degree-programs/md-program/,,University of Massachusetts Medical School,published school average GPA and MCAT,3.76,511,,source row carried an asterisk,University of Massachusetts Medical School,published school average GPA and MCAT,3.87,512,,,,,,,,
237,University of Miami,cycletrack_acceptance_median,1,single_source,3.91,3.91,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Miami,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,517,https://cycletrack.org/explorer/school/Miami,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
238,University of Miami Miller School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.86;3.86;3.89;3.86;3.78;3.8;3.73;3.85;3.8,3.73 - 3.89,0.16,505;509;509;516;507;506;508;516;506,505 - 516,11,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Mississippi School of Medicine; University of Missouri - Columbia School of Medicine; University of Missouri - Kansas City School of Medicine,published school average GPA and MCAT,3.86; 3.89,505; 509,https://www.umc.edu/som/Departments%20and%20Offices/SOM%20Administrative%20Offices/SOM%20Admissions/SOM%20Admissions.html; http://medicine.missouri.edu/admissions/; http://med.umkc.edu/md/apply/,,University of Miami Miller School of Medicine; University of Louisville School of Medicine; University of Mississippi School of Medicine,published school average GPA and MCAT,3.86; 3.78; 3.8,516; 507; 506,,source row carried an asterisk,University of Louisville School of Medicine; University of Miami Leonard M. Miller School of Medicine; University of Mississippi School of Medicine,published school average GPA and MCAT,3.73; 3.85; 3.8,508; 516; 506,,,,,,,,
239,University of Michigan,cycletrack_acceptance_median,1,single_source,3.94,3.94,,520,520,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Michigan,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.94,520,https://cycletrack.org/explorer/school/Michigan,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
240,University of Michigan Medical School,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.87;3.85;3.85,3.85 - 3.87,0.02,518;516,516 - 518,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Michigan Medical School,published school average GPA and MCAT,3.87,518,https://www.cmich.edu/academics/colleges/college-of-medicine,,University of Michigan Medical School,published school average GPA and MCAT,3.85,516,,source row carried an asterisk,University of Michigan Medical School,published school average GPA and MCAT,3.85,,,,,,,,,
241,University of Minnesota,cycletrack_acceptance_median,1,single_source,3.87,3.87,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Minnesota,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.87,515,https://cycletrack.org/explorer/school/Minnesota,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
242,University of Minnesota Medical School - Twin Cities,prospectivedoctor;shemmassian,2,major_conflict,3.81;3.65;3.84;3.77,3.65 - 3.84,0.19,513;503;511;511.1,503 - 513,10,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Minnesota Medical School - Twin Cities; University of Minnesota Medical School - Duluth,published school average GPA and MCAT,3.81; 3.65,513; 503,https://www.med.umn.edu/admissions,,University of Minnesota Medical School - Twin Cities; University of Minnesota Medical School - Duluth,published school average GPA and MCAT,3.84; 3.77,511; 511.1,,source row carried an asterisk,,,,,,,,,,,,
243,University of Mississippi,cycletrack_acceptance_median,1,single_source,3.95,3.95,,520.5,520.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Mississippi,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,520.5,https://cycletrack.org/explorer/school/Mississippi,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
244,University of Missouri (Columbia),cycletrack_acceptance_median,1,single_source,3.91,3.91,,518,518,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Missouri (Columbia),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,518,https://cycletrack.org/explorer/school/Missouri - Columbia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
245,University of Missouri (Kansas City),cycletrack_acceptance_median,1,single_source,3.9,3.9,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Missouri (Kansas City),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,515,https://cycletrack.org/explorer/school/Missouri - Kansas City,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
246,University of Missouri - Columbia School of Medicine,matchguy;shemmassian,2,major_conflict,3.83;3.78;3.84,3.78 - 3.84,0.06,509;506;511,506 - 511,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,University of Missouri - Columbia School of Medicine; University of Missouri - Kansas City School of Medicine,published school average GPA and MCAT,3.83; 3.78,509; 506,,source row carried an asterisk,University of Missouri-Columbia School of Medicine,published school average GPA and MCAT,3.84,511,,,,,,,,
247,University of Nebraska,cycletrack_acceptance_median,1,single_source,3.9,3.9,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Nebraska,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,515,https://cycletrack.org/explorer/school/Nebraska,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
248,University of Nebraska College of Medicine,matchguy;prospectivedoctor,2,major_conflict,3.9,3.9,,513;507,507 - 513,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Nebraska College of Medicine,published school average GPA and MCAT,3.9,513,http://www.unmc.edu/com/prospective/admissions/index.html,,,,,,,,University of Saskatchewan College of Medicine,published school average GPA and MCAT,,507,,,,,,,,
249,University of Nebraska Medical Center College of Medicine,shemmassian,1,single_source,3.87,3.87,,512,512,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,University of Nebraska Medical Center College of Medicine,published school average GPA and MCAT,3.87,512,,,,,,,,,,,,,,
250,University of Nevada,cycletrack_acceptance_median,1,single_source,3.84,3.84,,514.5,514.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Nevada,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84,514.5,https://cycletrack.org/explorer/school/Nevada Reno,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
251,University of Nevada Las Vegas,cycletrack_acceptance_median,1,single_source,3.94,3.94,,516.5,516.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Nevada Las Vegas,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.94,516.5,https://cycletrack.org/explorer/school/University of Nevada Las Vegas,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
252,University of New England,cycletrack_acceptance_median,1,single_source,3.71,3.71,,507,507,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of New England,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.71,507,https://cycletrack.org/explorer/school/New England,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
253,University of New England College of Osteopathic Medicine,shemmassian,1,single_source,3.62,3.62,,502,502,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,University of New England College of Osteopathic Medicine,published school average GPA and MCAT,3.62,502,,,,,,,,,,,,,,
254,University of New Mexico,cycletrack_acceptance_median,1,single_source,3.8,3.8,,512,512,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of New Mexico,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.8,512,https://cycletrack.org/explorer/school/New Mexico,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
255,University of North Carolina Chapel Hill,cycletrack_acceptance_median,1,single_source,3.9,3.9,,517,517,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of North Carolina Chapel Hill,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,517,https://cycletrack.org/explorer/school/North Carolina,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
256,University of North Carolina at Chapel Hill School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.78;3.79;3.79,3.78 - 3.79,0.01,515;512;514,512 - 515,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of North Carolina at Chapel Hill School of Medicine,published school average GPA and MCAT,3.78,515,http://www.med.unc.edu/admit,,University of North Carolina at Chapel Hill School of Medicine,published school average GPA and MCAT,3.79,512,,source row carried an asterisk,University of North Carolina at Chapel Hill School of Medicine,published school average GPA and MCAT,3.79,514,,,,,,,,
257,University of North Dakota,cycletrack_acceptance_median,1,single_source,3.87;3.8,3.8 - 3.87,0.07,511;512,511 - 512,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of North Dakota; University of South Dakota,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.87; 3.8,511; 512,https://cycletrack.org/explorer/school/North Dakota; https://cycletrack.org/explorer/school/South Dakota,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
258,University of North Dakota School of Medicine and Health Sciences,prospectivedoctor;shemmassian,2,close_agreement,3.8;3.8,3.8 - 3.8,0,507;507,507 - 507,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of North Dakota School of Medicine and Health Sciences,published school average GPA and MCAT,3.8,507,http://www.med.und.edu/student-affairs-admissions/application-process.cfm,,University of North Dakota School of Medicine and Health Sciences,published school average GPA and MCAT,3.8,507,,source row carried an asterisk,,,,,,,,,,,,
259,University of North Texas Health Science Center at Fort Worth Texas College of Osteopathic Medicine,shemmassian,1,single_source,3.82,3.82,,507.2,507.2,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,University of North Texas Health Science Center at Fort Worth Texas College of Osteopathic Medicine,published school average GPA and MCAT,3.82,507.2,,,,,,,,,,,,,,
260,University of Oklahoma,cycletrack_acceptance_median,1,single_source,3.9,3.9,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Oklahoma,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,516,https://cycletrack.org/explorer/school/Oklahoma,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
261,University of Ottawa Faculty of Medicine,matchguy,1,single_source,3.74;3.94,3.74 - 3.94,0.2,510,510,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,University of Ottawa Faculty of Medicine; University of Toronto Faculty of Medicine,published school average GPA and MCAT,3.74; 3.94,510,,,,,,,,
262,University of Pennsylvania,cycletrack_acceptance_median,1,single_source,3.97,3.97,,523,523,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Pennsylvania,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.97,523,https://cycletrack.org/explorer/school/Pennsylvania,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
263,University of Pikeville Kentucky College of Osteopathic Medicine,shemmassian,1,single_source,3.5,3.5,,502,502,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,University of Pikeville Kentucky College of Osteopathic Medicine,published school average GPA and MCAT,3.5,502,,,,,,,,,,,,,,
264,University of Pittsburgh,cycletrack_acceptance_median,1,single_source,3.95,3.95,,520,520,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Pittsburgh,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,520,https://cycletrack.org/explorer/school/Pittsburgh,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
265,University of Rochester,cycletrack_acceptance_median,1,single_source,3.93,3.93,,519,519,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of Rochester,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,519,https://cycletrack.org/explorer/school/Rochester,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
266,University of Rochester School of Medicine and Dentistry,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.84;3.6;3.43,3.43 - 3.84,0.41,518;517;517,517 - 518,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of Rochester School of Medicine and Dentistry,published school average GPA and MCAT,3.84,518,https://www.urmc.rochester.edu/education/md/admissions.aspx,,University of Rochester School of Medicine and Dentistry,published school average GPA and MCAT,3.6,517,,,University of Rochester School of Medicine and Dentistry,published school average GPA and MCAT,3.43,517,,,,,,,,
267,University of South Alabama,cycletrack_acceptance_median,1,single_source,3.9;3.85;3.92,3.85 - 3.92,0.07,514;515;515,514 - 515,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,University of South Alabama; University of South Carolina,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9; 3.85; 3.92,514; 515,https://cycletrack.org/explorer/school/South Alabama; https://cycletrack.org/explorer/school/South Carolina - Columbia; https://cycletrack.org/explorer/school/South Carolina - Greenville,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
268,University of South Alabama College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.91;3.85;3.85;3.79;3,3 - 3.91,0.91,511;511;508;511,508 - 511,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,University of South Alabama College of Medicine; University of Oklahoma College of Medicine,published school average GPA and MCAT,3.91; 3.85,511,http://www.usahealthsystem.com/doctor-of-medicine; https://www.oumedicine.com/college-of-medicine/information-about/admissions,,University of South Alabama College of Medicine; University of Oklahoma College of Medicine,published school average GPA and MCAT,3.85; 3.79,508; 511,,source row carried an asterisk,University of Oklahoma College of Medicine,published school average GPA and MCAT,3,,,,,,,,,
