cluster_id,canonical_school_name,school_id,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,recommended_action
173,State University of New York Upstate Medical University,,cycletrack_acceptance_median;matchguy,2,major_conflict,3.74;3.84,3.74 - 3.84,0.1,512;515,512 - 515,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
177,Temple University Lewis Katz School of Medicine,md_lewis_katz_school_of_medicine_at_temple_university_philadelphia_pennsylvania,prospectivedoctor;shemmassian,2,major_conflict,3.77;3.7,3.7 - 3.77,0.07,513;510,510 - 513,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
178,Texas A&M Health Science Center College of Medicine,,prospectivedoctor;shemmassian,2,minor_conflict,3.84;3.89,3.84 - 3.89,0.05,513;513,513 - 513,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
183,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,md_paul_l_foster_school_of_medicine_texas_tech_university_health_sciences_center_at,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.89;3.71;3.84;3.85;3.84,3.71 - 3.89,0.18,512;510;509;509;509,509 - 512,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
197,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,md_uniformed_services_university_of_the_health_sciences_f_edward_h_bert_school_of_m,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.76;3.7;3.7,3.7 - 3.76,0.06,510;510;510,510 - 510,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
198,Universidad Central Del Caribe School of Medicine,,prospectivedoctor;shemmassian,2,minor_conflict,3.73;3.8,3.73 - 3.8,0.07,499;501,499 - 501,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
201,University at Buffalo Jacobs School of Medicine and Biomedical Sciences,md_jacobs_school_of_medicine_and_biomedical_sciences_at_the_university_at_buffalo_b,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.75;3.7;3.7,3.7 - 3.75,0.05,512;510;510,510 - 512,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
202,University of Alabama School of Medicine,,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.86;3.69;3.83;3.78;3.88;3.83;3.76;3.86;3.82;3.87;3.7;3.84;3.84;3.76;3.6;3.91;3.87;3.87;3.84;3.83;3.91,3.6 - 3.91,0.31,510;512;514;514;512;514;512;518;513;509.4;517;509;512;509;510;516;514;509.4;500;509;516,500 - 518,18,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
206,University of Arizona College of Medicine - Tucson,md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.79;3.81;3.74;3.8,3.74 - 3.81,0.07,510;515;508;516,508 - 516,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
209,University of Arkansas for Medical Sciences College of Medicine,md_university_of_arkansas_for_medical_sciences_college_of_medicine_little_rock_arka,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.85;3.85;3.83,3.83 - 3.85,0.02,508;507;509,507 - 509,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
