severity,file,row_id,field,message,suggested_fix
warning,data/manual/admissions_source_queue.csv,md_university_of_arkansas_for_medical_sciences_college_of_medicine_little_rock_arka,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_california_university_of_science_and_medicine_school_of_medicine_colton_californ,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_california_davis_school_of_medicine_davis_california,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_california_northstate_university_college_of_medicine_elk_grove_california,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_university_of_california_irvine_school_of_medicine_irvine_california,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_loma_linda_university_school_of_medicine_loma_linda_california,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_charles_r_drew_university_of_medicine_and_science_college_of_medicine_los_angele,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_david_geffen_school_of_medicine_at_ucla_los_angeles_california,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_keck_school_of_medicine_of_the_university_of_southern_california_los_angeles_cal,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_stanford_university_school_of_medicine_palo_alto_california,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,md_kaiser_permanente_bernard_j_tyson_school_of_medicine_pasadena_california,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
