school_id,school_name,degree_type,candidate_count,matched_candidate_count,fetched_candidate_count,accepted_extraction_count,current_canonical_has_mcat,current_canonical_has_gpa,coverage_status,next_action
do_kcu_com_kansas_city_university_of_medicine_and_biosciences_college_of_osteopathi,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,A.T. Still University – Kirksville College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_rvu_mcom_rocky_vista_university_montana_college_of_osteopathic_medicine_billings,Rocky Vista University – Montana College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_tourocom_great_falls_touro_college_of_osteopathic_medicine_great_falls_great_fal,Touro College of Osteopathic Medicine – Great Falls,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_tuncom_touro_university_nevada_college_of_osteopathic_medicine_henderson_nevada,Touro University Nevada College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_rowan_virtuasom_sewell_rowan_virtua_school_of_osteopathic_medicine_sewell_new_je,Rowan-Virtua School of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_rowan_virtuasom_rowan_virtua_school_of_osteopathic_medicine_stratford_new_jersey,Rowan-Virtua School of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_bcsom_burrell_college_school_of_osteopathic_medicine_las_cruces_new_mexico,Burrell College School of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_dyu_com_d_youville_university_college_of_osteopathic_medicine_buffalo_new_york,D’Youville University College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_lecom_elmira_lake_erie_college_of_osteopathic_medicine_elmira_elmira_new_york,Lake Erie College of Osteopathic Medicine – Elmira,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_tourocom_middletown_touro_college_of_osteopathic_medicine_middletown_new_york,Touro College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_tourocom_harlem_touro_college_of_osteopathic_medicine_new_york_new_york,Touro College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
