source_table,source_row_number,source_school_name,source_state,school_id,school_name,match_score,second_match_score,review_reason,recommended_action,notes
aamc_msar_tuition_school_master_join_candidates.csv,176,University of Saskatchewan College of Medicine,SK,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,out-of-state reported cost fields are zero; in-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,5,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),AZ,md_arizona_state_university_john_shufeldt_school_of_medicine_and_medical_engineerin,Arizona State University John Shufeldt School of Medicine and Medical Engineering,0.678,0.347,join_row_not_safe_for_patch,review if school should enter canonical cost table,all reported cost fields are zero; no reliable master match
aamc_msar_tuition_school_master_join_candidates.csv,81,University of North Carolina at Chapel Hill School of Medicine,NC,md_university_of_north_carolina_school_of_medicine_chapel_hill_north_carolina,University of North Carolina School of Medicine,0.87,0.315,join_row_not_safe_for_patch,review if school should enter canonical cost table,review before updating master
aamc_msar_tuition_school_master_join_candidates.csv,131,University of South Carolina School of Medicine Columbia,SC,md_university_of_south_carolina_kay_and_c_edward_floyd_m_d_school_of_medicine_colum,"University of South Carolina Kay and C. Edward Floyd, M.D. School of Medicine",0.87,0.86,join_row_not_safe_for_patch,review if school should enter canonical cost table,review before updating master
school_master.csv,,,AZ,md_arizona_state_university_john_shufeldt_school_of_medicine_and_medical_engineerin,Arizona State University John Shufeldt School of Medicine and Medical Engineering,,,md_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,NC,md_methodist_university_cape_fear_valley_health_school_of_medicine_fayetteville_nor,Methodist University Cape Fear Valley Health School of Medicine,,,md_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,TX,md_paul_l_foster_school_of_medicine_texas_tech_university_health_sciences_center_at,Paul L. Foster School of Medicine Texas Tech University Health Sciences Center at El Paso,,,md_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,MD,md_uniformed_services_university_of_the_health_sciences_f_edward_h_bert_school_of_m,"Uniformed Services University of the Health Sciences, F. Edward Hébert School of Medicine",,,md_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,AZ,md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,University of Arizona College of Medicine - Tucson,,,md_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,GA,md_university_of_georgia_school_of_medicine_athens_georgia,University of Georgia School of Medicine,,,md_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,NC,md_university_of_north_carolina_school_of_medicine_chapel_hill_north_carolina,University of North Carolina School of Medicine,,,md_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,SC,md_university_of_south_carolina_kay_and_c_edward_floyd_m_d_school_of_medicine_colum,"University of South Carolina Kay and C. Edward Floyd, M.D. School of Medicine",,,md_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
